vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-2VL4F,2VL4F,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.9848783333333,38.853955
SkipDC-352897091291768,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0163,38.8719833
SkipDC-352897091273964,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.01711,38.8723
SkipDC-352897091387384,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0162783,38.8719667
SkipDC-352897091272743,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0092678,38.8735856
SkipDC-352897091437981,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0082017,38.8733967
BirdDC-CQZ8D,CQZ8D,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.9780617,38.8708505
BirdDC-AELVL,AELVL,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.95987,38.869995
SkipDC-352897091328982,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0184829,38.8774926
SkipDC-352897091387582,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.018835,38.8776333
SkipDC-352897091387202,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0157233,38.877125
SkipDC-352897091391923,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.01343,38.875195
SkipDC-352897091328024,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0098567,38.8760167
SkipDC-352897091328040,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0039833,38.876215
SkipDC-352897091392160,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0048533,38.87825
SkipDC-352897091384761,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-76.99451,38.8767467
SkipDC-352897091432826,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-76.9906683,38.8783067
SkipDC-352897091343205,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-76.9857583,38.8780383
BirdDC-6D9WK,6D9WK,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.049965,38.890435
BirdDC-VL7DY,VL7DY,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.04219,38.8899033333333
BirdDC-XIJYE,XIJYE,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.0338966666667,38.891335
SkipDC-352897091387269,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0284117,38.887625
SkipDC-352897091432727,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.02829,38.8891883
SkipDC-352897091273642,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.027125,38.89035
BirdDC-XLN65,XLN65,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.0062183333333,38.8274083333333
BirdDC-XNCRP,XNCRP,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.0058290682134,38.8280146297057
BirdDC-TLCB4,TLCB4,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.006385,38.8293916666667
BirdDC-QDLNF,QDLNF,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.006325,38.829335
BirdDC-19WL9,19WL9,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.9879683333333,38.83239
BirdDC-S3LG6,S3LG6,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.0035016666667,38.8344233333333
BirdDC-QBUBP,QBUBP,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.9857454207511,38.8438696414594
SkipDC-352897091438203,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.02767,38.8814733
SkipDC-352897091310667,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0275927,38.8814491
SkipDC-352897091274863,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.02468,38.8786817
SkipDC-352897091385248,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0232121,38.8788305
SkipDC-352897091392269,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0227983,38.8788317
BirdDC-645QG,645QG,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.0090333333333,38.8814016666667
SkipDC-352897091432867,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.00545,38.8803417
BirdDC-S9DV1,S9DV1,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.9609383333333,38.882645
BirdDC-9TVLY,9TVLY,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-76.9608977717133,38.8824838959043
SkipDC-352897091427388,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0469133,38.88407
SkipDC-352897091294184,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0460133,38.88417
BirdDC-TQTZA,TQTZA,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.0298233333333,38.884705
BirdDC-3S9KN,3S9KN,2018-12-22 22:05:00-07,BirdDC,electric-scooter,2018-12-22 22:05:00-07,-77.02996,38.8848183333333
SkipDC-352897091384068,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0285597,38.8863345
SkipDC-352897091430200,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.02267,38.884315
SkipDC-352897091458102,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0224417,38.8859668
SkipDC-352897091272982,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.021955,38.8858117
SkipDC-352897091274582,"",2018-12-22 22:05:02-07,SkipDC,electric-scooter,2018-12-22 22:05:00-07,-77.0176539,38.8830175
