vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-6HXFU,6HXFU,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9917,38.8293083333333
SkipDC-352897091391485,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9135283,38.76888
BirdDC-98GGU,98GGU,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.00708,38.8265
SkipDC-352897091273907,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9964983,38.8565117
JumpDC-bike_23189,JUMP DC-2498,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-76.9950266666667,38.8623433333333
BirdDC-MNT9S,MNT9S,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9956283333333,38.862015
BirdDC-CQZ8D,CQZ8D,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9780617,38.8708505
JumpDC-bike_23945,JUMP DC-2454,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0256283333333,38.8837516666667
JumpDC-bike_18865,JUMP DC-0824,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0274783333333,38.8815066666667
JumpDC-bike_23698,JUMP DC-2733,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0240616666667,38.879535
JumpDC-bike_23215,JUMP DC-2524,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0183133333333,38.879175
SkipDC-352897091326028,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.019625,38.8821933
BirdDC-4RKLP,4RKLP,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.0208966666667,38.881145
SkipDC-352897091319809,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.01477,38.8790383
SkipDC-352897091386345,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0041283,38.8807317
SkipDC-352897091438823,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9949783,38.8804017
SkipDC-352897091438161,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9936877,38.8801952
JumpDC-bike_16631,JUMP DC-0222,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-76.983785,38.879195
SkipDC-352897091386527,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9872078,38.879036
BirdDC-9TVLY,9TVLY,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9609566126736,38.882553172334
BirdDC-S9DV1,S9DV1,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.960915,38.882645
BirdDC-83LI,83LI,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.958488,38.873276
BirdDC-WJK42,WJK42,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.0261383333333,38.87563
JumpDC-bike_23630,JUMP DC-2665,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0221083333333,38.8767716666667
SkipDC-352897091427701,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0209424,38.8761966
BirdDC-SB2U4,SB2U4,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.0177,38.87717
SkipDC-352897091381247,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0148149,38.8764213
SkipDC-352897091387202,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.016045,38.8770567
BirdDC-GM1CG,GM1CG,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.01313,38.8756683333333
SkipDC-352897091431067,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.009055,38.8766367
SkipDC-352897091428006,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.00776,38.87564
SkipDC-352897091387228,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0070895,38.8758329
SkipDC-352897091438120,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0068372,38.8762864
SkipDC-352897091432784,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0074676,38.8769941
JumpDC-bike_23188,JUMP DC-2497,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0008183333333,38.8758833333333
SkipDC-352897091310808,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0057563,38.8766397
SkipDC-352897091381742,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0058083,38.8765967
SkipDC-352897091430945,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.001455,38.8751267
SkipDC-352897091273428,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0001517,38.8767517
SkipDC-352897091311087,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9993883,38.8783067
SkipDC-352897091291768,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9909433,38.87829
SkipDC-352897091294861,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.987555,38.8764183
SkipDC-352897091392327,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0387033,38.88994
SkipDC-352897091294986,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0314467,38.8885367
SkipDC-352897091391469,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.03395,38.8907767
SkipDC-352897091381668,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0214071,38.8878171
SkipDC-352897091437643,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.00975,38.8875833
BirdDC-59R1Y,59R1Y,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.0117337077769,38.8896561408038
BirdDC-RXT6,RXT6,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-77.0115967191624,38.8896563617382
SkipDC-352897091291669,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0006466,38.8900337
SkipDC-352897091432867,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9987533,38.8875433
SkipDC-352897091294184,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9943673,38.8879392
JumpDC-bike_23628,JUMP DC-2663,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-76.9916733333333,38.888795
JumpDC-bike_16634,JUMP DC-0226,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-76.98712,38.8909883333333
SkipDC-352897091386501,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.9868076,38.8893332
SkipDC-352897091328982,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-76.983695,38.8892383
BirdDC-WHSWM,WHSWM,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9562841,38.8880793
BirdDC-ZZZZH,ZZZZH,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9570233333333,38.8918083333333
BirdDC-JWL4C,JWL4C,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.9565116666667,38.8883283333333
BirdDC-IAZ1N,IAZ1N,2018-12-18 00:04:52-07,BirdDC,electric-scooter,2018-12-18 00:05:00-07,-76.95118,38.888115
JumpDC-bike_23471,JUMP DC-2606,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-76.9067316666667,38.88802
SkipDC-352897091437924,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0782883,38.8940617
JumpDC-bike_23155,JUMP DC-2464,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.0226033333333,38.8937866666667
JumpDC-bike_18909,JUMP DC-0788,2018-12-18 00:04:18-07,JumpDC,pedal-assist-bike,2018-12-18 00:05:00-07,-77.01628,38.8952033333333
SkipDC-352897091386923,"",2018-12-18 00:04:56-07,SkipDC,electric-scooter,2018-12-18 00:05:00-07,-77.0152233,38.8951583
