vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
JumpDC-bike_23213,JUMP DC-2522,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.99549,38.862315
BirdDC-QBUBP,QBUBP,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-76.9857454207511,38.8438696414594
JumpDC-bike_23467,JUMP DC-2602,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9852216666667,38.8554716666667
BirdDC-2VL4F,2VL4F,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-76.98494,38.8538633333333
JumpDC-bike_18844,JUMP DC-0721,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9911866666667,38.860175
BirdDC-EW8DL,EW8DL,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-76.96511,38.85833
SkipDC-352897091436983,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0043317,38.87663
SkipDC-352897091383102,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.004215,38.876675
SkipDC-352897091314727,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0043383,38.8767267
SkipDC-352897091427602,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0042633,38.87668
SkipDC-352897091311681,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0042567,38.8767217
JumpDC-bike_23707,JUMP DC-2742,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9694183333333,38.8753416666667
SkipDC-352897091391923,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0246317,38.8802183
SkipDC-352897091430945,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.024605,38.8803583
JumpDC-bike_16615,JUMP DC-0250,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-77.0239516666667,38.87949
JumpDC-bike_18918,JUMP DC-0797,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-77.0235783333333,38.879175
SkipDC-352897091387582,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0250267,38.8802167
SkipDC-352897091291768,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.024895,38.8801267
SkipDC-352897091310709,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.024899,38.8801898
SkipDC-352897091274582,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0246759,38.8800877
SkipDC-352897091328982,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.024601,38.8810719
JumpDC-bike_18836,JUMP DC-0713,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-77.0243233333333,38.8798433333333
SkipDC-352897091387384,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0249609,38.8811124
JumpDC-bike_23637,JUMP DC-2672,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-77.0230266666667,38.878635
JumpDC-bike_23458,JUMP DC-2593,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-77.02306,38.878635
SkipDC-352897091430200,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0037261,38.8806464
SkipDC-352897091272982,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0052581,38.8801225
SkipDC-352897091385248,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.005415,38.8805467
SkipDC-352897091392269,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0037261,38.8806464
JumpDC-bike_23699,JUMP DC-2734,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.99596,38.8843533333333
JumpDC-bike_23162,JUMP DC-2471,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9950416666667,38.8849583333333
JumpDC-bike_18930,JUMP DC-0809,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9950416666667,38.8851283333333
JumpDC-bike_18901,JUMP DC-0780,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.99586,38.8843016666667
JumpDC-bike_23710,JUMP DC-2745,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9959116666667,38.88433
SkipDC-352897091325962,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.047991,38.8917311
SkipDC-352897091273600,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0447527,38.8904038
SkipDC-352897091387889,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0259925,38.8880509
JumpDC-bike_23181,JUMP DC-2490,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-77.0290916666667,38.8875233333333
SkipDC-352897091432867,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.02579,38.8874333
SkipDC-352897091392160,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0263378,38.8881397
JumpDC-bike_23201,JUMP DC-2510,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9895333333333,38.89035
JumpDC-bike_23641,JUMP DC-2676,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9887666666667,38.8903583333333
JumpDC-bike_18868,JUMP DC-0827,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9898,38.890355
JumpDC-bike_18870,JUMP DC-0829,2018-12-23 11:05:03-07,JumpDC,pedal-assist-bike,2018-12-23 11:05:00-07,-76.9885683333333,38.890435
BirdDC-F7S7P,F7S7P,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-77.0450366666667,38.8960616666667
SkipDC-352897091432784,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0468617,38.892355
SkipDC-352897091391329,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0467233,38.89231
BirdDC-T7RDT,T7RDT,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-77.0450366666667,38.8960383333333
SkipDC-352897091391220,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0467467,38.89231
BirdDC-XV3H4,XV3H4,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-77.0418166666667,38.896045
SkipDC-352897091327968,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.04676,38.8923467
SkipDC-352897091328065,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0467433,38.8923567
BirdDC-E9UZK,E9UZK,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-77.0440299902829,38.896040869913
SkipDC-352897091433006,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.046785,38.8923033
BirdDC-GX2KR,GX2KR,2018-12-23 11:05:04-07,BirdDC,electric-scooter,2018-12-23 11:05:00-07,-77.0396603365215,38.8963373797377
SkipDC-352897091381007,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0401533,38.8921021
SkipDC-352897091386600,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0398367,38.8921683
SkipDC-352897091433162,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0397633,38.8922217
SkipDC-352897091392202,"",2018-12-23 11:05:04-07,SkipDC,electric-scooter,2018-12-23 11:05:00-07,-77.0397667,38.8922433
