vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-P6HU4,P6HU4,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9873583333333,38.8648916666667
JumpDC-bike_23467,JUMP DC-2602,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-76.9852216666667,38.8554716666667
BirdDC-2VL4F,2VL4F,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9849616666667,38.85392
BirdDC-TGJSE,TGJSE,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9975413,38.8580633
BirdDC-H78F8,H78F8,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9651266666667,38.8584016666667
JumpDC-bike_18836,JUMP DC-0713,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.01457,38.86449
BirdDC-VDPZZ,VDPZZ,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0121849,38.86463
JumpDC-bike_23186,JUMP DC-2495,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-76.9955316666667,38.8623616666667
SkipDC-352897091430200,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0037261,38.8806464
SkipDC-352897091458482,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0052,38.8790783
SkipDC-352897091387244,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0051083,38.8794067
SkipDC-352897091272982,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.00542,38.8804433
SkipDC-352897091384621,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0053833,38.8804317
JumpDC-bike_18870,JUMP DC-0829,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-76.994825,38.8813683333333
JumpDC-bike_23641,JUMP DC-2676,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-76.9947733333333,38.881365
JumpDC-bike_23707,JUMP DC-2742,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-76.9851616666667,38.8808183333333
BirdDC-XLN65,XLN65,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0062416666667,38.8274266666667
BirdDC-XNCRP,XNCRP,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0058290682134,38.8280146297057
BirdDC-9HWY5,9HWY5,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9943466666667,38.8274
BirdDC-BPD6M,BPD6M,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.994705,38.8270416666667
BirdDC-KUYEA,KUYEA,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.994515,38.8274383333333
BirdDC-TLCB4,TLCB4,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.006355,38.829365
BirdDC-QDLNF,QDLNF,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0063783333333,38.8293533333333
BirdDC-S3LG6,S3LG6,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.003495,38.8344383333333
BirdDC-SU4X3,SU4X3,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.00399,38.8361366666667
SkipDC-352897091386923,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.1130993,38.842166
SkipDC-352897091392004,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.1130993,38.842166
SkipDC-352897091381668,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.1164177,38.8423545
SkipDC-352897091430929,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.1164177,38.8423545
SkipDC-352897091437080,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.1164177,38.8423545
BirdDC-QBUBP,QBUBP,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9857454207511,38.8438696414594
SkipDC-352897091384647,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0465867,38.8841683
BirdDC-F5J4Z,F5J4Z,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.03643,38.8854866666667
BirdDC-S2VFZ,S2VFZ,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.03498,38.8851083333333
SkipDC-352897091273964,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.017645,38.88334
JumpDC-bike_23162,JUMP DC-2471,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-76.9950416666667,38.8849583333333
SkipDC-352897091391923,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-76.99963,38.88587
BirdDC-D8VSJ,D8VSJ,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.95874,38.8855216666667
BirdDC-N8EAL,N8EAL,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9587016666667,38.8855016666667
BirdDC-61HE5,61HE5,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9532933333333,38.8852233333333
BirdDC-GS1QW,GS1QW,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.953965,38.88544
BirdDC-QYXX3,QYXX3,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.93216,38.887345
BirdDC-GD6L2,GD6L2,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9320216666667,38.8873783333333
BirdDC-UC7NA,UC7NA,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9319916666667,38.8873783333333
BirdDC-8WQY4,8WQY4,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9251783333333,38.8831716666667
SkipDC-352897091437825,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0544283,38.89613
SkipDC-352897091438161,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0488567,38.8919683
BirdDC-3QXH7,3QXH7,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0483467542353,38.8923005294417
SkipDC-352897091381007,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0499667,38.8919667
BirdDC-JG7XF,JG7XF,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.045105,38.8959766666667
BirdDC-8KH13,8KH13,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0449115988585,38.8962715817978
BirdDC-E9UZK,E9UZK,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0449115988585,38.8962715817978
BirdDC-7PUJ1,7PUJ1,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.045075,38.8959883333333
JumpDC-bike_18905,JUMP DC-0784,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.0467516666667,38.8926583333333
BirdDC-DIIST,DIIST,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0405583333333,38.8942833333333
BirdDC-735FH,735FH,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.037076442464,38.8950862123299
BirdDC-XPNYE,XPNYE,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.039635,38.892495
SkipDC-352897091290802,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0348083,38.8946533
SkipDC-352897091276280,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0347033,38.8946783
JumpDC-bike_23696,JUMP DC-2731,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.02688,38.8949916666667
JumpDC-bike_23457,JUMP DC-2592,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.02135,38.896315
SkipDC-352897091385123,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0228016,38.8930714
SkipDC-352897091325566,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.02174,38.8938417
SkipDC-352897091329303,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0217917,38.8939533
SkipDC-352897091431281,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0217717,38.8941217
SkipDC-352897091328248,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.00788,38.8962267
BirdDC-61GL1,61GL1,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.01165,38.8962816666667
SkipDC-352897091431307,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0091252,38.8957042
BirdDC-26GF2,26GF2,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.98249,38.896065
SkipDC-352897091274582,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-76.984999,38.8963024
BirdDC-D45VC,D45VC,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.9563833333333,38.893825
BirdDC-ZKNGX,ZKNGX,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-76.946465,38.8924366666667
BirdDC-4F3NM,4F3NM,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0590216666667,38.9008783333333
BirdDC-U442T,U442T,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0540916666667,38.9007183333333
JumpDC-bike_23488,JUMP DC-2623,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.0500566666667,38.90079
SkipDC-352897091437742,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.049705,38.89723
SkipDC-352897091384365,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0500933,38.9007617
SkipDC-352897091381502,"",2018-12-23 21:04:57-07,SkipDC,electric-scooter,2018-12-23 21:05:00-07,-77.0478333,38.9007833
JumpDC-bike_18823,JUMP DC-0700,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.0220716666667,38.8983916666667
JumpDC-bike_23634,JUMP DC-2669,2018-12-23 21:04:32-07,JumpDC,pedal-assist-bike,2018-12-23 21:05:00-07,-77.0226216666667,38.89988
BirdDC-YCIN2,YCIN2,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.0175633333333,38.8999183333333
BirdDC-QEEQF,QEEQF,2018-12-23 21:04:57-07,BirdDC,electric-scooter,2018-12-23 21:05:00-07,-77.011825,38.8971183333333
