vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-C4KH7,C4KH7,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-77.010955,38.8241733333333
BirdDC-2VL4F,2VL4F,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-76.9848933333333,38.8539883333333
BirdDC-PNXU6,PNXU6,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-76.9646916666667,38.8535
BirdDC-XUVW9,XUVW9,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-76.967995,38.8597633333333
BirdDC-JBSNC,JBSNC,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-76.9666816666667,38.8601916666667
JumpDC-bike_23509,JUMP DC-2644,2018-12-21 23:04:07-07,JumpDC,pedal-assist-bike,2018-12-21 23:05:00-07,-76.995085,38.8620333333333
JumpDC-bike_18865,JUMP DC-0824,2018-12-21 23:04:07-07,JumpDC,pedal-assist-bike,2018-12-21 23:05:00-07,-76.9949966666667,38.862055
BirdDC-FRWQD,FRWQD,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-76.9911033333333,38.8636666666667
BirdDC-MAAJF,MAAJF,2018-12-21 23:04:57-07,BirdDC,electric-scooter,2018-12-21 23:05:00-07,-76.9739484812939,38.8645269419849
SkipDC-352897091272982,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-76.987995,38.87645
SkipDC-352897091325921,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-77.0364917,38.8818633
SkipDC-352897091386360,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-77.0364617,38.881865
JumpDC-bike_23160,JUMP DC-2469,2018-12-21 23:04:07-07,JumpDC,pedal-assist-bike,2018-12-21 23:05:00-07,-77.0182683333333,38.8791983333333
JumpDC-bike_23212,JUMP DC-2521,2018-12-21 23:04:07-07,JumpDC,pedal-assist-bike,2018-12-21 23:05:00-07,-77.0204733333333,38.878665
SkipDC-352897091273642,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-77.0160933,38.8787317
SkipDC-352897091387269,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-77.0147159,38.8789343
SkipDC-352897091433162,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-77.0166833,38.8793133
JumpDC-bike_23185,JUMP DC-2494,2018-12-21 23:04:07-07,JumpDC,pedal-assist-bike,2018-12-21 23:05:00-07,-77.0147883333333,38.8815666666667
SkipDC-352897091272743,"",2018-12-21 23:04:58-07,SkipDC,electric-scooter,2018-12-21 23:05:00-07,-77.0078832,38.8804557
