vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-2VL4F,2VL4F,2018-12-21 09:04:45-07,BirdDC,electric-scooter,2018-12-21 09:05:00-07,-76.9848866666667,38.8539016666667
BirdDC-S3LG6,S3LG6,2018-12-21 09:04:45-07,BirdDC,electric-scooter,2018-12-21 09:05:00-07,-77.0034783333333,38.8344383333333
BirdDC-M8D6N,M8D6N,2018-12-21 09:04:45-07,BirdDC,electric-scooter,2018-12-21 09:05:00-07,-77.00122,38.844715
BirdDC-QBUBP,QBUBP,2018-12-21 09:04:45-07,BirdDC,electric-scooter,2018-12-21 09:05:00-07,-76.9857454207511,38.8438696414594
SkipDC-352897091384548,"",2018-12-21 09:04:45-07,SkipDC,electric-scooter,2018-12-21 09:05:00-07,-77.0050959,38.8763855
SkipDC-352897091430440,"",2018-12-21 09:04:45-07,SkipDC,electric-scooter,2018-12-21 09:05:00-07,-77.0044413,38.8767009
SkipDC-352897091384761,"",2018-12-21 09:04:45-07,SkipDC,electric-scooter,2018-12-21 09:05:00-07,-77.004465,38.87681
JumpDC-bike_16624,JUMP DC-0229,2018-12-21 09:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 09:05:00-07,-77.0242283333333,38.8796616666667
JumpDC-bike_23229,JUMP DC-2538,2018-12-21 09:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 09:05:00-07,-77.0242633333333,38.8797133333333
JumpDC-bike_16532,JUMP DC-0223,2018-12-21 09:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 09:05:00-07,-77.0227916666667,38.8784516666667
JumpDC-bike_18899,JUMP DC-0778,2018-12-21 09:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 09:05:00-07,-77.0163233333333,38.88132
SkipDC-352897091436884,"",2018-12-21 09:04:45-07,SkipDC,electric-scooter,2018-12-21 09:05:00-07,-77.0053567,38.8800733
SkipDC-352897091384662,"",2018-12-21 09:04:45-07,SkipDC,electric-scooter,2018-12-21 09:05:00-07,-77.0052817,38.880095
