vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
JumpDC-bike_18908,JUMP DC-0787,2018-12-20 23:04:39-07,JumpDC,pedal-assist-bike,2018-12-20 23:05:00-07,-76.9951483333333,38.821185
JumpDC-bike_23680,JUMP DC-2715,2018-12-20 23:04:39-07,JumpDC,pedal-assist-bike,2018-12-20 23:05:00-07,-76.9912316666667,38.85889
JumpDC-bike_18865,JUMP DC-0824,2018-12-20 23:04:39-07,JumpDC,pedal-assist-bike,2018-12-20 23:05:00-07,-76.9949966666667,38.862055
BirdDC-FRWQD,FRWQD,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-76.9910666666667,38.8636783333333
BirdDC-MAAJF,MAAJF,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-76.9739373959087,38.8645428122035
BirdDC-SU4X3,SU4X3,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-77.0039666666667,38.8359266666667
BirdDC-5FAU4,5FAU4,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-77.004005,38.8358883333333
BirdDC-S3LG6,S3LG6,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-77.0034866666667,38.8344733333333
BirdDC-WPL11,WPL11,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-76.992585,38.8412633333333
BirdDC-M8D6N,M8D6N,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-77.0012516666667,38.8447566666667
BirdDC-QBUBP,QBUBP,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-76.9857454207511,38.8438696414594
BirdDC-2VL4F,2VL4F,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-76.9848633333333,38.8538933333333
SkipDC-352897091437643,"",2018-12-20 23:04:45-07,SkipDC,electric-scooter,2018-12-20 23:05:00-07,-77.0162721,38.8723552
SkipDC-352897091381809,"",2018-12-20 23:04:45-07,SkipDC,electric-scooter,2018-12-20 23:05:00-07,-77.008842,38.8737946
BirdDC-CQZ8D,CQZ8D,2018-12-20 23:04:45-07,BirdDC,electric-scooter,2018-12-20 23:05:00-07,-76.9780617,38.8708505
