vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-98GGU,98GGU,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-77.0071483333333,38.8265183333333
BirdDC-ESZKA,ESZKA,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.9744566666667,38.8475116666667
SkipDC-352897091273907,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-76.9964273,38.8565051
BirdDC-TGJSE,TGJSE,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.9975512,38.8580846
JumpDC-bike_23189,JUMP DC-2498,2018-12-17 18:03:53-07,JumpDC,pedal-assist-bike,2018-12-17 18:05:00-07,-76.9950266666667,38.8623433333333
JumpDC-bike_23210,JUMP DC-2519,2018-12-17 18:03:53-07,JumpDC,pedal-assist-bike,2018-12-17 18:05:00-07,-76.9838066666667,38.86888
BirdDC-P6HU4,P6HU4,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.9873583333333,38.8648916666667
SkipDC-352897091459746,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0015733,38.8750133
SkipDC-352897091273428,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0007077,38.8766797
BirdDC-BNRUQ,BNRUQ,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.973205,38.8652683333333
SkipDC-352897091431182,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0169623,38.8722527
SkipDC-352897091392160,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0135746,38.8709435
SkipDC-352897091381767,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0119683,38.871575
SkipDC-352897091310683,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0091817,38.872635
SkipDC-352897091325707,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0092036,38.873635
SkipDC-352897091304785,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0003633,38.8735517
BirdDC-JXT2M,JXT2M,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.9963683333333,38.872425
BirdDC-CQZ8D,CQZ8D,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.9780617,38.8708505
BirdDC-6FS4N,6FS4N,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.9790566666667,38.8695266666667
BirdDC-83LI,83LI,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-76.958351,38.873154
BirdDC-WJK42,WJK42,2018-12-17 18:05:00-07,BirdDC,electric-scooter,2018-12-17 18:05:00-07,-77.0260933333333,38.8756516666667
SkipDC-352897091384381,"",2018-12-17 18:04:48-07,SkipDC,electric-scooter,2018-12-17 18:05:00-07,-77.0158483,38.876835
