vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
SkipDC-352897091273907,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-76.9964967,38.856485
BirdDC-JYM3H,JYM3H,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.0048683333333,38.8366016666667
BirdDC-9A79F,9A79F,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.00351,38.8344466666667
BirdDC-QBUBP,QBUBP,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.9857454207511,38.8438696414594
BirdDC-7H6FC,7H6FC,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.985949,38.843044
BirdDC-QEV31,QEV31,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.9857483333333,38.8438066666667
JumpDC-bike_23210,JUMP DC-2519,2018-12-17 19:04:53-07,JumpDC,pedal-assist-bike,2018-12-17 19:05:00-07,-76.9818566666667,38.847065
BirdDC-ESZKA,ESZKA,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.9745033333333,38.8475983333333
SkipDC-352897091387020,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0241667,38.8794033
SkipDC-352897091384381,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0248517,38.8801933
JumpDC-bike_23230,JUMP DC-2539,2018-12-17 19:04:53-07,JumpDC,pedal-assist-bike,2018-12-17 19:05:00-07,-77.0265233333333,38.8810783333333
JumpDC-bike_23449,JUMP DC-2584,2018-12-17 19:04:53-07,JumpDC,pedal-assist-bike,2018-12-17 19:05:00-07,-77.0264983333333,38.8811816666667
BirdDC-V77PL,V77PL,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.0227666666667,38.87846
SkipDC-352897091319809,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.014615,38.879085
JumpDC-bike_23648,JUMP DC-2683,2018-12-17 19:04:53-07,JumpDC,pedal-assist-bike,2018-12-17 19:05:00-07,-77.01232,38.880315
BirdDC-R7EMJ,R7EMJ,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.0129016666667,38.881325
SkipDC-352897091311087,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0075467,38.87844
SkipDC-352897091387228,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0075383,38.8785567
SkipDC-352897091386345,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0068671,38.8792375
SkipDC-352897091291701,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0049717,38.878765
SkipDC-352897091427701,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0049833,38.88005
SkipDC-352897091437080,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-76.996145,38.88171
SkipDC-352897091391485,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-76.989795,38.8803933
SkipDC-352897091386527,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-76.9871633,38.8788
JumpDC-bike_23218,JUMP DC-2527,2018-12-17 19:04:53-07,JumpDC,pedal-assist-bike,2018-12-17 19:05:00-07,-76.980985,38.8822483333333
BirdDC-PNT5C,PNT5C,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.04831,38.8895766666667
SkipDC-352897091457427,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0332567,38.8889317
BirdDC-98GGU,98GGU,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.0071566666667,38.8265233333333
SkipDC-352897091381767,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0118683,38.87162
SkipDC-352897091310683,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0092933,38.8727267
BirdDC-CQZ8D,CQZ8D,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.9780617,38.8708505
BirdDC-6FS4N,6FS4N,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.9790566666667,38.8695266666667
BirdDC-83LI,83LI,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-76.958405,38.87315
BirdDC-WJK42,WJK42,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.0261466666667,38.8756216666667
SkipDC-352897091428006,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0175983,38.877165
BirdDC-BTD8,BTD8,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.013245,38.875835
BirdDC-GM1CG,GM1CG,2018-12-17 19:05:06-07,BirdDC,electric-scooter,2018-12-17 19:05:00-07,-77.0134733333333,38.87566
SkipDC-352897091273428,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0067999,38.8763224
SkipDC-352897091438120,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0069,38.87643
SkipDC-352897091291768,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0077582,38.8778007
JumpDC-bike_23185,JUMP DC-2494,2018-12-17 19:04:53-07,JumpDC,pedal-assist-bike,2018-12-17 19:05:00-07,-77.0069966666667,38.8763583333333
SkipDC-352897091294184,"",2018-12-17 19:04:51-07,SkipDC,electric-scooter,2018-12-17 19:05:00-07,-77.0109248,38.8772833
