vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-3VQB5,3VQB5,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-76.9889,38.837365
JumpDC-bike_23643,JUMP DC-2678,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9768266666667,38.864915
JumpDC-bike_18848,JUMP DC-0693,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0184066666667,38.8716133333333
JumpDC-bike_16495,JUMP DC-0182,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.016335,38.8724283333333
SkipDC-352897091430929,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-77.0085467,38.8723683
BirdDC-23MRF,23MRF,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.00901,38.873485
JumpDC-bike_16496,JUMP DC-0183,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.00701,38.8715533333333
JumpDC-bike_23616,JUMP DC-2651,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9791683333333,38.8727933333333
JumpDC-bike_23709,JUMP DC-2744,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0176683333333,38.8753683333333
SkipDC-352897091437684,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-77.0161289,38.8764532
SkipDC-352897091387228,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-77.015845,38.87669
SkipDC-352897091430945,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-77.0157467,38.8767417
JumpDC-bike_23710,JUMP DC-2745,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.006045,38.878215
JumpDC-bike_23697,JUMP DC-2732,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0282366666667,38.88587
SkipDC-352897091427701,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-77.0283745,38.8841036
JumpDC-bike_18868,JUMP DC-0827,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0208366666667,38.8849566666667
JumpDC-bike_23674,JUMP DC-2709,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0060483333333,38.885705
JumpDC-bike_23696,JUMP DC-2731,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9824416666667,38.8853566666667
JumpDC-bike_18830,JUMP DC-0707,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9836266666667,38.8849433333333
BirdDC-3YNDU,3YNDU,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-76.953895,38.885715
JumpDC-bike_18843,JUMP DC-0720,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0235783333333,38.8961733333333
JumpDC-bike_18839,JUMP DC-0716,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0210583333333,38.8947716666667
JumpDC-bike_23489,JUMP DC-2624,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0195416666667,38.8961933333333
JumpDC-bike_23682,JUMP DC-2717,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0196833333333,38.8960883333333
JumpDC-bike_23414,JUMP DC-2549,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.01906,38.8960883333333
JumpDC-bike_23487,JUMP DC-2622,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.02211,38.8962483333333
JumpDC-bike_23201,JUMP DC-2510,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0219016666667,38.8946366666667
JumpDC-bike_16491,JUMP DC-0178,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0229816666667,38.8960666666667
JumpDC-bike_23144,JUMP DC-2453,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0229016666667,38.8946866666667
JumpDC-bike_23628,JUMP DC-2663,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.998525,38.8923466666667
JumpDC-bike_23636,JUMP DC-2671,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9948783333333,38.895555
SkipDC-352897091437122,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-76.9949116,38.8951525
JumpDC-bike_16601,JUMP DC-0235,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9962433333333,38.8945383333333
JumpDC-bike_18894,JUMP DC-0773,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.99572,38.8921383333333
JumpDC-bike_23681,JUMP DC-2716,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9962983333333,38.8946066666667
JumpDC-bike_23694,JUMP DC-2729,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9884333333333,38.8960716666667
JumpDC-bike_23170,JUMP DC-2479,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9864766666667,38.89285
JumpDC-bike_23162,JUMP DC-2471,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9865083333333,38.8933683333333
JumpDC-bike_23182,JUMP DC-2491,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9845,38.8934933333333
JumpDC-bike_23619,JUMP DC-2654,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.987705,38.891995
JumpDC-bike_16498,JUMP DC-0185,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9782466666667,38.8920483333333
BirdDC-N3HG5,N3HG5,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-76.972535,38.8929716666667
JumpDC-bike_23217,JUMP DC-2526,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0048233333333,38.8968733333333
JumpDC-bike_16634,JUMP DC-0226,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9978883333333,38.9002516666667
JumpDC-bike_23945,JUMP DC-2454,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9950266666667,38.900405
JumpDC-bike_23662,JUMP DC-2697,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9950866666667,38.8999883333333
JumpDC-bike_18887,JUMP DC-0764,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.992555,38.8990733333333
JumpDC-bike_23428,JUMP DC-2563,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9903483333333,38.897515
JumpDC-bike_23150,JUMP DC-2459,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9926633333333,38.90038
JumpDC-bike_23509,JUMP DC-2644,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9935566666667,38.9001466666667
JumpDC-bike_18844,JUMP DC-0721,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9937316666667,38.8967216666667
JumpDC-bike_23228,JUMP DC-2537,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9854516666667,38.8980566666667
JumpDC-bike_18922,JUMP DC-0801,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9868983333333,38.898635
JumpDC-bike_23455,JUMP DC-2590,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.976945,38.8997916666667
JumpDC-bike_23440,JUMP DC-2575,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.97708,38.8996233333333
JumpDC-bike_23680,JUMP DC-2715,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.1200316666667,38.9020166666667
BirdDC-USAV9,USAV9,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0612043116691,38.9043155383454
BirdDC-QZCTB,QZCTB,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.058265,38.90527
BirdDC-2VF6B,2VF6B,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0582640165757,38.9053591856308
BirdDC-ECEG7,ECEG7,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0577083333333,38.9014166666667
SkipDC-352897091294226,"",2018-12-19 04:04:44-07,SkipDC,electric-scooter,2018-12-19 04:05:00-07,-77.0501333,38.9015333
JumpDC-bike_16624,JUMP DC-0229,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0242683333333,38.907375
BirdDC-FB8FU,FB8FU,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0223446656736,38.908704123496
JumpDC-bike_23432,JUMP DC-2567,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0188116666667,38.905605
JumpDC-bike_23175,JUMP DC-2484,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0078866666667,38.9073
JumpDC-bike_23157,JUMP DC-2466,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0113016666667,38.9064783333333
JumpDC-bike_18853,JUMP DC-0695,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0003466666667,38.9075833333333
JumpDC-bike_16625,JUMP DC-0230,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.0003566666667,38.9075883333333
JumpDC-bike_23712,JUMP DC-2747,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9514816666667,38.907115
BirdDC-8WQY4,8WQY4,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.082405,38.9106716666667
BirdDC-KV956,KV956,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.047618,38.910885
BirdDC-TGB48,TGB48,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.044788,38.911983
BirdDC-LELJR,LELJR,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0442527565932,38.9108839110873
JumpDC-bike_23648,JUMP DC-2683,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-77.043445,38.9135633333333
BirdDC-Y1TA5,Y1TA5,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0393011,38.9189451
BirdDC-FWYI7,FWYI7,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0392879,38.9189784
BirdDC-EU4Y1,EU4Y1,2018-12-19 04:04:55-07,BirdDC,electric-scooter,2018-12-19 04:05:00-07,-77.0109716666667,38.9214433333333
JumpDC-bike_23419,JUMP DC-2554,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9621616666667,38.9191483333333
JumpDC-bike_23506,JUMP DC-2641,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.96215,38.9190933333333
JumpDC-bike_23229,JUMP DC-2538,2018-12-19 04:04:00-07,JumpDC,pedal-assist-bike,2018-12-19 04:05:00-07,-76.9621683333333,38.9191383333333
