vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-ILPCW,ILPCW,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-77.00512,38.8473466666667
JumpDC-bike_18908,JUMP DC-0787,2018-12-19 23:05:22-07,JumpDC,pedal-assist-bike,2018-12-19 23:05:00-07,-76.9988983333333,38.818585
JumpDC-bike_16623,JUMP DC-0231,2018-12-19 23:05:22-07,JumpDC,pedal-assist-bike,2018-12-19 23:05:00-07,-76.9841633333333,38.827955
SkipDC-352897091438005,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.1476083,38.8362417
BirdDC-JYM3H,JYM3H,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-77.00483,38.8366583333333
BirdDC-S3LG6,S3LG6,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-77.0034866666667,38.8344466666667
BirdDC-3VQB5,3VQB5,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-76.9888533333333,38.8372683333333
BirdDC-DIMKU,DIMKU,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-76.9923866666667,38.8427233333333
BirdDC-QBUBP,QBUBP,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-76.9857454207511,38.8438696414594
SkipDC-352897091381684,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.0004783,38.8750133
SkipDC-352897091273642,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.000805,38.8775617
SkipDC-352897091431083,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-76.9996517,38.876595
SkipDC-352897091457823,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-76.99516,38.8776267
SkipDC-352897091431323,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-76.9947272,38.8780256
JumpDC-bike_18868,JUMP DC-0827,2018-12-19 23:05:22-07,JumpDC,pedal-assist-bike,2018-12-19 23:05:00-07,-77.02784,38.8813433333333
BirdDC-6D9WK,6D9WK,2018-12-19 23:04:56-07,BirdDC,electric-scooter,2018-12-19 23:05:00-07,-77.0264366666667,38.8819733333333
JumpDC-bike_16615,JUMP DC-0250,2018-12-19 23:05:22-07,JumpDC,pedal-assist-bike,2018-12-19 23:05:00-07,-77.0275566666667,38.8815966666667
SkipDC-352897091310808,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.0141986,38.8819842
SkipDC-352897091274863,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.0150828,38.8788316
SkipDC-352897091319809,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.0146217,38.87963
SkipDC-352897091381247,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.0074033,38.8790633
JumpDC-bike_23655,JUMP DC-2690,2018-12-19 23:05:22-07,JumpDC,pedal-assist-bike,2018-12-19 23:05:00-07,-77.00188,38.8823133333333
SkipDC-352897091392145,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-77.0050283,38.878845
JumpDC-bike_18835,JUMP DC-0712,2018-12-19 23:05:22-07,JumpDC,pedal-assist-bike,2018-12-19 23:05:00-07,-77.0049883333333,38.879395
SkipDC-352897091328065,"",2018-12-19 23:05:04-07,SkipDC,electric-scooter,2018-12-19 23:05:00-07,-76.99606,38.8816433
