vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
JumpDC-bike_23643,JUMP DC-2678,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-76.9768266666667,38.864915
JumpDC-bike_23466,JUMP DC-2601,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-76.9817066666667,38.8471066666667
SkipDC-352897091381247,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-77.0237463,38.8787839
SkipDC-352897091319809,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-77.0147183,38.87932
JumpDC-bike_23459,JUMP DC-2594,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-77.0072616666667,38.8793883333333
JumpDC-bike_18899,JUMP DC-0778,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-77.0071433333333,38.8792883333333
SkipDC-352897091437502,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-77.0010662,38.8788777
SkipDC-352897091430887,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-76.9953164,38.8813768
SkipDC-352897091275001,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-76.9952467,38.8813517
JumpDC-bike_23446,JUMP DC-2581,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-76.9901766666667,38.8811133333333
BirdDC-9TVLY,9TVLY,2018-12-19 06:05:03-07,BirdDC,electric-scooter,2018-12-19 06:05:00-07,-76.9609566126736,38.882553172334
SkipDC-352897091427701,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-77.0283527,38.8841184
JumpDC-bike_23697,JUMP DC-2732,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-77.0282366666667,38.88587
JumpDC-bike_18868,JUMP DC-0827,2018-12-19 06:04:30-07,JumpDC,pedal-assist-bike,2018-12-19 06:05:00-07,-77.0208366666667,38.8849566666667
SkipDC-352897091437122,"",2018-12-19 06:05:15-07,SkipDC,electric-scooter,2018-12-19 06:05:00-07,-76.994765,38.8952283
