vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
JumpDC-bike_18908,JUMP DC-0787,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-76.9959083333333,38.821945
BirdDC-QBUBP,QBUBP,2018-12-21 13:05:15-07,BirdDC,electric-scooter,2018-12-21 13:05:00-07,-76.9857454207511,38.8438696414594
BirdDC-2VL4F,2VL4F,2018-12-21 13:05:15-07,BirdDC,electric-scooter,2018-12-21 13:05:00-07,-76.98494,38.8540116666667
BirdDC-TGJSE,TGJSE,2018-12-21 13:05:15-07,BirdDC,electric-scooter,2018-12-21 13:05:00-07,-76.9975512,38.8580846
BirdDC-PNXU6,PNXU6,2018-12-21 13:05:15-07,BirdDC,electric-scooter,2018-12-21 13:05:00-07,-76.9748766666667,38.8578416666667
BirdDC-XUVW9,XUVW9,2018-12-21 13:05:15-07,BirdDC,electric-scooter,2018-12-21 13:05:00-07,-76.9743541587589,38.8577396034088
JumpDC-bike_23701,JUMP DC-2736,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-77.0227516666667,38.8782366666667
JumpDC-bike_23642,JUMP DC-2677,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-77.01742,38.8780066666667
JumpDC-bike_16634,JUMP DC-0226,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-77.0060933333333,38.8763116666667
SkipDC-352897091273642,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-77.0068725,38.876713
JumpDC-bike_18831,JUMP DC-0708,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-77.0007416666667,38.8763683333333
SkipDC-352897091438823,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-77.0038267,38.87646
SkipDC-352897091326002,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-76.9978883,38.8748867
SkipDC-352897091292022,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-76.9984635,38.8751307
SkipDC-352897091387582,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-76.9974418,38.8769575
SkipDC-352897091311087,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-76.994575,38.8767083
SkipDC-352897091272982,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-76.9894217,38.8763183
BirdDC-19SKL,19SKL,2018-12-21 13:05:15-07,BirdDC,electric-scooter,2018-12-21 13:05:00-07,-77.0264133333333,38.8811116666667
JumpDC-bike_16624,JUMP DC-0229,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-77.0242283333333,38.8796616666667
JumpDC-bike_16532,JUMP DC-0223,2018-12-21 13:04:28-07,JumpDC,pedal-assist-bike,2018-12-21 13:05:00-07,-77.0227916666667,38.8784516666667
SkipDC-352897091386402,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-77.00477,38.8785317
SkipDC-352897091436884,"",2018-12-21 13:05:15-07,SkipDC,electric-scooter,2018-12-21 13:05:00-07,-77.0017258,38.8798567
