vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
JumpDC-bike_18908,JUMP DC-0787,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-76.9988466666667,38.8185016666667
BirdDC-2VL4F,2VL4F,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-76.9847716666667,38.853875
JumpDC-bike_18865,JUMP DC-0824,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-76.9950383333333,38.8620383333333
JumpDC-bike_16623,JUMP DC-0231,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-76.9841633333333,38.827955
BirdDC-JYM3H,JYM3H,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-77.004845,38.836655
BirdDC-S3LG6,S3LG6,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-77.0034783333333,38.8344416666667
BirdDC-3VQB5,3VQB5,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-76.9889216666667,38.8372916666667
BirdDC-DIMKU,DIMKU,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-76.9924233333333,38.8427166666667
BirdDC-QBUBP,QBUBP,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-76.9857454207511,38.8438696414594
BirdDC-L25EJ,L25EJ,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-76.9735866666667,38.8654333333333
SkipDC-352897091384928,"",2018-12-20 00:05:07-07,SkipDC,electric-scooter,2018-12-20 00:05:00-07,-77.0114515,38.8719368
JumpDC-bike_16530,JUMP DC-0207,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-77.0101283333333,38.87292
BirdDC-ILPCW,ILPCW,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-77.00512,38.8473466666667
JumpDC-bike_23616,JUMP DC-2651,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-76.9791683333333,38.8727933333333
BirdDC-CQZ8D,CQZ8D,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-76.9780617,38.8708505
SkipDC-352897091319809,"",2018-12-20 00:05:07-07,SkipDC,electric-scooter,2018-12-20 00:05:00-07,-77.0146397,38.8792366
JumpDC-bike_16631,JUMP DC-0222,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-76.9728116666667,38.8730533333333
BirdDC-4BX6R,4BX6R,2018-12-20 00:04:56-07,BirdDC,electric-scooter,2018-12-20 00:05:00-07,-77.0174483333333,38.8800166666667
JumpDC-bike_18922,JUMP DC-0801,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-77.01999,38.8775966666667
JumpDC-bike_18835,JUMP DC-0712,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-77.0049883333333,38.879395
JumpDC-bike_23655,JUMP DC-2690,2018-12-20 00:04:22-07,JumpDC,pedal-assist-bike,2018-12-20 00:05:00-07,-77.00188,38.8823133333333
SkipDC-352897091381726,"",2018-12-20 00:05:07-07,SkipDC,electric-scooter,2018-12-20 00:05:00-07,-76.9950872,38.8838463
