vehicle_id,name,last_reported,system_id,vehicle_type,collected_at,lon,lat
BirdDC-2VL4F,2VL4F,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-76.9848783333333,38.85389
JumpDC-bike_18908,JUMP DC-0787,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.99584,38.82211
BirdDC-S3LG6,S3LG6,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-77.0034866666667,38.834435
BirdDC-DIMKU,DIMKU,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-76.9924233333333,38.8427016666667
BirdDC-QBUBP,QBUBP,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-76.9857454207511,38.8438696414594
JumpDC-bike_16530,JUMP DC-0207,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-77.0101283333333,38.87292
BirdDC-CQZ8D,CQZ8D,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-76.9780617,38.8708505
JumpDC-bike_16631,JUMP DC-0222,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.9728116666667,38.8730533333333
JumpDC-bike_23179,JUMP DC-2488,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-77.0176883333333,38.8783216666667
BirdDC-RAGZU,RAGZU,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-77.0133516666667,38.8757283333333
SkipDC-352897091387269,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.01578,38.8763067
SkipDC-352897091458102,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0158333,38.876475
SkipDC-352897091381585,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.015875,38.8765583
JumpDC-bike_18887,JUMP DC-0764,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.96939,38.875375
JumpDC-bike_23142,JUMP DC-2451,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-77.00581,38.8859616666667
SkipDC-352897091391220,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0054808,38.8831801
JumpDC-bike_18849,JUMP DC-0694,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.99574,38.8847283333333
SkipDC-352897091274566,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-76.9961783,38.884135
SkipDC-352897091431323,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-76.996145,38.88414
SkipDC-352897091381767,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-76.9954472,38.884208
JumpDC-bike_23672,JUMP DC-2707,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.995675,38.8846266666667
SkipDC-352897091381726,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-76.9950872,38.8838463
SkipDC-352897091292022,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-76.996018,38.8842872
JumpDC-bike_23215,JUMP DC-2524,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.995965,38.8842783333333
JumpDC-bike_23462,JUMP DC-2597,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.9959733333333,38.8842766666667
JumpDC-bike_16601,JUMP DC-0235,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-76.99612,38.8857516666667
BirdDC-3YNDU,3YNDU,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-76.953865,38.88572
SkipDC-352897091433006,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0395533,38.8924733
SkipDC-352897091381742,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.039555,38.89248
SkipDC-352897091380926,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0395467,38.892495
SkipDC-352897091272685,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0395517,38.8925033
SkipDC-352897091457526,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0397151,38.8924062
SkipDC-352897091438120,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0395709,38.8925138
SkipDC-352897091327968,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0395583,38.8925283
SkipDC-352897091391980,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.0395483,38.8925317
SkipDC-352897091328768,"",2018-12-20 09:05:17-07,SkipDC,electric-scooter,2018-12-20 09:05:00-07,-77.039575,38.8924917
BirdDC-8V1T3,8V1T3,2018-12-20 09:05:16-07,BirdDC,electric-scooter,2018-12-20 09:05:00-07,-77.0162733333333,38.8962516666667
JumpDC-bike_23471,JUMP DC-2606,2018-12-20 09:04:34-07,JumpDC,pedal-assist-bike,2018-12-20 09:05:00-07,-77.00022,38.893095
